,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,21.637,0.010,0.001,0.000,0.000
Green,15.758,47.055,12.678,0.124,0.009
Purple,52.000,42.576,65.884,18.930,6.796
Orange,10.311,9.967,20.382,72.276,9.005
Chocolate,0.294,0.392,1.055,8.670,84.190
