,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,23.574,0.007,0.000,0.000,0.000
Green,15.987,49.366,11.925,0.117,0.007
Purple,50.153,40.747,66.837,18.243,5.698
Orange,9.998,9.508,20.200,73.612,7.451
Chocolate,0.288,0.372,1.038,8.028,86.844
