,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,42.614,0.006,0.000,0.000,0.000
Green,0.090,26.170,0.018,0.000,0.000
Purple,47.405,59.610,77.314,15.793,11.087
Orange,3.805,5.922,10.335,67.289,8.771
Chocolate,6.086,8.292,12.333,16.918,80.141
