,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,5.727,0.003,0.001,0.000,0.000
Green,1.969,27.967,0.781,0.000,0.000
Purple,73.812,56.696,75.316,18.942,13.755
Orange,4.039,3.887,7.137,53.767,9.198
Chocolate,14.453,11.446,16.765,27.291,77.048
