,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,8.380,0.002,0.001,0.000,0.000
Green,0.863,33.475,0.185,0.000,0.000
Purple,72.557,52.397,76.609,16.345,11.985
Orange,3.989,3.558,6.854,62.218,7.524
Chocolate,14.211,10.567,16.351,21.437,80.490
