,Spettro_1,Spettro_2,Spettro_3
Continuum_1,17.085,35.822,12.028
Continuum_2,28.172,45.236,17.443
Continuum_3,34.625,47.251,19.233
Mean_Continuum,26.628,42.770,16.235
