,SNR,Signal,Noise
Spettro_1,0.036,0.007,0.193
Spettro_2,6.222,0.948,0.152
Spettro_3,1.136,1.714,1.509
Spettro_4,0.935,2.959,3.164
Spettro_5,8.953,1.945,0.217
Spettro_6,6.228,1.010,0.162
Spettro_7,6.410,0.731,0.114
Spettro_8,7.671,2.040,0.266
Spettro_9,0.300,0.192,0.642
Spettro_10,8.294,1.580,0.191
Spettro_11,25.812,3.730,0.144
Spettro_12,32.821,11.686,0.356
Spettro_13,50.063,19.448,0.388
Spettro_14,18.338,15.963,0.870
Spettro_15,86.346,22.061,0.255
Spettro_16,25.272,5.080,0.201
Spettro_17,7.151,1.407,0.197
Spettro_18,16.851,2.098,0.125
Spettro_19,23.163,4.049,0.175
Spettro_20,6.763,1.152,0.170
