,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,2.304,3.815,3.181,2.140,3.771,3.929,5.288,7.467,36.419,7.154,9.632,12.926,13.206,14.804,6.870,6.126,5.129,4.037,3.180,2.196
Continuum_2,3.229,4.974,7.556,8.670,4.958,5.408,6.603,10.922,33.324,10.323,13.724,18.864,21.986,18.902,17.088,9.946,7.184,5.495,4.277,3.294
Continuum_3,4.206,4.772,7.043,5.740,5.129,6.078,7.896,17.603,8.659,13.316,14.940,19.152,25.544,31.926,17.351,12.053,7.710,6.105,5.341,3.595
