Line,Flux,Error flux
Hgamma,0.536543831382718,0.15795719068847527
Hbeta,2.6874584709122753,0.21273626641002885
Halpha,13.086974600657374,0.1855900176008562
[SII]6716,3.2100488020839344,0.14556823716370754
[SII]6731,2.2294021168859874,0.13364205742302482
HeII4687,0.014180383226694591,0.05597948369464195
HeI5876,0.30289497036619156,0.10244942591760624
[OIII]5007_d,4.522762137018293,0.31670589532348953
[OI]6300_d,1.1774678941404986,0.2827684174629573
[NII]6583_d,5.020997147462277,0.31679867642948856
