,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,1.1012,1.0211,1.6551,0.1634,0.6066
r_e,3.6130,5.7066,4.5275,40.5414,22.5875
n,0.8705,0.0546,0.2032,2.2671,3.6310
x_0,34.5412,54.3333,49.8096,66.1980,64.4567
