,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0510,0.0663,0.0342,0.1011,0.0419
r_e error,0.4222,0.2667,18.7593,0.5518,0.7722
n error,0.1242,0.0325,0.3814,0.1683,0.1772
x_0 error,0.0594,0.2122,0.3193,0.0555,0.0808
