,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1478,0.1109,0.0331,0.7970,0.0145
r_e error,0.4331,0.5590,5.4221,0.5988,82.0948
n error,0.2806,0.1653,0.1635,1.2750,1.8635
x_0 error,0.0978,0.2724,0.6340,0.0888,0.0549
