,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0448,0.0591,0.0353,0.0762,0.0334
r_e error,0.5406,0.3061,22.1427,2.0234,1.8959
n error,0.1315,0.0360,0.3639,0.3716,0.2852
x_0 error,0.0802,0.2088,0.4835,0.0854,0.0906
