,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.3162,1.0000,1.0000,1.0000,0.1891
r_e,13.3157,13.5141,21.4373,6.7528,49.5733
n,2.4124,2.5803,2.0878,1.8827,2.2807
x_0,35.9622,52.0000,58.9354,68.0000,81.0000
