,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.8916,3.2334,1.9681,1.8357,0.7042
r_e error,4.0963,86.5892,79.5554,100.1609,57.4343
n error,0.7303,2.4415,1.3219,4.4094,1.9404
x_0 error,0.1889,0.2037,0.4016,0.2732,0.0564
