,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.874,0.582,0.140,0.070,0.049,0.117
Green,0.123,98.439,0.308,0.103,0.047,0.049
Magenta,0.001,0.904,70.850,22.025,4.538,0.178
Orange,0.000,0.015,26.080,70.746,10.116,0.043
Chocolate,0.002,0.058,2.598,7.016,85.085,3.012
Purple,0.000,0.001,0.023,0.040,0.165,96.600
