,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.165,0.192,0.178,0.071,0.099,0.109
Green,0.544,98.886,1.475,0.439,0.493,0.399
Magenta,0.000,0.028,72.107,27.842,8.375,0.000
Orange,0.000,0.000,11.775,55.349,12.869,0.001
Chocolate,1.291,0.894,14.465,16.298,78.165,39.959
Purple,0.000,0.000,0.000,0.000,0.000,59.532
