,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.848,0.728,0.143,0.075,0.056,0.132
Green,0.149,98.004,0.321,0.111,0.053,0.056
Magenta,0.001,1.172,67.799,24.092,5.317,0.211
Orange,0.000,0.020,28.945,67.619,12.461,0.054
Chocolate,0.002,0.074,2.767,8.059,81.921,3.479
Purple,0.000,0.001,0.024,0.043,0.191,96.069
