,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,95.712,0.234,0.062,0.024,0.023,0.033
Green,0.419,96.020,0.476,0.139,0.106,0.123
Magenta,0.000,0.004,48.904,22.163,4.550,0.000
Orange,3.869,3.741,50.547,77.010,53.092,54.188
Chocolate,0.000,0.000,0.010,0.664,42.228,0.000
Purple,0.000,0.000,0.000,0.000,0.001,45.656
