,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,93.315,0.189,0.055,0.023,0.022,0.054
Green,0.007,94.712,0.018,0.002,0.001,0.000
Magenta,6.675,4.872,42.805,13.922,12.007,36.034
Orange,0.001,0.215,56.283,83.714,40.789,2.402
Chocolate,0.002,0.011,0.822,2.314,47.047,1.510
Purple,0.000,0.001,0.017,0.025,0.133,60.000
