,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.822,0.144,0.387,0.206,0.260,0.699
Green,0.201,99.399,0.413,0.130,0.091,0.078
Magenta,0.000,0.066,70.196,39.197,17.595,0.054
Orange,0.631,0.323,27.131,57.088,26.024,19.230
Chocolate,0.000,0.002,0.706,2.386,53.542,0.842
Purple,0.346,0.067,1.167,0.993,2.487,79.097
