,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.583,0.119,0.167,0.065,0.095,0.104
Green,0.427,99.258,1.320,0.404,0.471,0.378
Magenta,0.000,0.016,72.620,27.052,7.240,0.000
Orange,0.000,0.000,11.259,59.279,10.291,0.001
Chocolate,0.990,0.607,14.633,13.201,81.903,37.852
Purple,0.000,0.000,0.000,0.000,0.000,61.666
