,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,95.939,0.167,0.062,0.022,0.021,0.031
Green,0.395,97.145,0.465,0.125,0.097,0.114
Magenta,0.000,0.001,50.657,20.773,3.517,0.000
Orange,3.666,2.687,48.811,78.741,47.430,50.429
Chocolate,0.000,0.000,0.005,0.339,48.935,0.000
Purple,0.000,0.000,0.000,0.000,0.001,49.425
