,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.052,0.125,0.415,0.189,0.235,0.663
Green,0.160,99.518,0.465,0.107,0.082,0.074
Magenta,0.000,0.042,72.308,33.182,15.345,0.044
Orange,0.509,0.258,24.989,62.469,22.766,18.169
Chocolate,0.000,0.001,0.627,3.048,59.333,0.775
Purple,0.279,0.056,1.197,1.005,2.240,80.276
