,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,94.219,0.148,0.055,0.022,0.020,0.051
Green,0.006,95.847,0.016,0.002,0.001,0.000
Magenta,5.773,3.834,44.780,12.941,11.087,33.516
Orange,0.001,0.162,54.347,85.028,36.381,2.133
Chocolate,0.001,0.008,0.785,1.984,52.390,1.364
Purple,0.000,0.000,0.017,0.023,0.121,62.936
