,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.052,0.105,0.384,0.190,0.235,0.663
Green,0.160,99.567,0.402,0.118,0.082,0.074
Magenta,0.000,0.043,71.591,36.544,15.345,0.044
Orange,0.509,0.235,25.797,60.246,22.766,18.169
Chocolate,0.000,0.001,0.666,1.983,59.333,0.775
Purple,0.279,0.049,1.161,0.919,2.240,80.276
