,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,95.712,0.185,0.062,0.022,0.022,0.032
Green,0.419,96.842,0.468,0.129,0.100,0.117
Magenta,0.000,0.002,50.185,21.221,3.800,0.000
Orange,3.869,2.971,49.279,78.208,49.102,51.524
Chocolate,0.000,0.000,0.006,0.420,46.975,0.000
Purple,0.000,0.000,0.000,0.000,0.001,48.327
