,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.281,0.160,0.166,0.070,0.099,0.109
Green,0.521,99.003,1.324,0.440,0.493,0.399
Magenta,0.000,0.030,70.602,28.930,8.375,0.000
Orange,0.000,0.000,13.351,56.116,12.869,0.001
Chocolate,1.198,0.807,14.558,14.444,78.165,39.959
Purple,0.000,0.000,0.000,0.000,0.000,59.532
