,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,94.584,0.133,0.055,0.021,0.020,0.049
Green,0.006,96.258,0.016,0.002,0.001,0.000
Magenta,5.409,3.457,45.470,12.545,10.666,32.532
Orange,0.001,0.144,53.670,85.545,34.547,2.035
Chocolate,0.001,0.007,0.771,1.864,54.652,1.310
Purple,0.000,0.000,0.017,0.022,0.116,64.073
