,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.583,0.143,0.179,0.061,0.095,0.104
Green,0.427,99.172,1.462,0.364,0.471,0.378
Magenta,0.000,0.015,74.334,22.620,7.240,0.000
Orange,0.000,0.000,9.536,61.993,10.291,0.001
Chocolate,0.990,0.671,14.490,14.961,81.903,37.852
Purple,0.000,0.000,0.000,0.000,0.000,61.666
