,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.884,0.528,0.139,0.068,0.047,0.112
Green,0.113,98.597,0.303,0.099,0.044,0.047
Magenta,0.001,0.808,72.031,21.193,4.234,0.167
Orange,0.000,0.013,24.973,71.974,9.262,0.040
Chocolate,0.002,0.053,2.531,6.627,86.258,2.842
Purple,0.000,0.001,0.023,0.038,0.155,96.792
