,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.687,0.107,0.167,0.063,0.093,0.101
Green,0.394,99.335,1.319,0.389,0.461,0.370
Magenta,0.000,0.013,73.370,26.205,6.800,0.000
Orange,0.000,0.000,10.485,60.662,9.392,0.001
Chocolate,0.918,0.546,14.659,12.681,83.255,37.018
Purple,0.000,0.000,0.000,0.000,0.000,62.510
