,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,98.742,0.172,0.418,0.212,0.260,0.699
Green,0.207,99.329,0.481,0.129,0.091,0.078
Magenta,0.000,0.065,70.796,38.799,17.595,0.054
Orange,0.675,0.356,26.429,56.408,26.024,19.230
Chocolate,0.000,0.002,0.672,3.375,53.542,0.842
Purple,0.375,0.076,1.204,1.077,2.487,79.097
