Name,Flux,Error flux
Hgamma,2.4935763967395714,0.29867958447747167
Hbeta,6.3105427270658065,0.5330464729128112
Halpha,23.56690957414674,0.6509070222556446
[SII]6716,2.52472858128962,0.19888196647145365
[SII]6731,2.1238392091765887,0.12752951239130736
HeII4687,0.005946061325842782,0.014541151373928427
HeI5876,0.9407413498889806,0.07703336113904324
[OIII]5007_d,10.509691560477599,0.47494450172761427
[OI]6300_d,0.2786906004663388,0.024567877120322497
[NII]6583_d,6.983876574086698,0.1603251517562666
