Name,Flux,Error flux
Hgamma,0.19069000958835108,0.03148602040130153
Hbeta,0.7604998876111093,0.07222755290192831
Halpha,4.460030373566685,0.04823562766493049
[SII]6716,0.6305227965324527,0.04853355698637564
[SII]6731,0.4670256362644092,0.029344826317850955
HeII4687,0.06992413126650782,0.010542264525470357
HeI5876,0.08915492555166998,0.02743725265348612
[OIII]5007_d,0.250129733559633,0.025164980872217427
[OI]6300_d,0.17031496576265723,0.04442479040040312
[NII]6583_d,2.1908686380312803,0.06351938834386131
