,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.087,0.084,0.102,0.251,0.151
Continuum_2,0.087,0.094,0.113,0.307,0.148
Continuum_3,0.080,0.101,0.117,0.363,0.135
