,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.014,0.012,0.015,0.026,0.017
Continuum_2,0.012,0.010,0.012,0.019,0.012
Continuum_3,0.011,0.011,0.012,0.024,0.012
