,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1682,0.2202,0.1823,0.1979,0.1543
r_e,10.0000,2.0235,3.0000,12.4029,1.7420
n,1.2365,0.3013,0.4028,1.4141,0.5182
x_0,30.1181,38.8575,44.0346,59.1673,63.3295
