,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.4285,4.2905,0.7640,1.2801,0.0168
r_e,8.9766,0.2598,1.2714,7.7217,1.6872
n,2.0052,0.1292,1.2640,1.3663,5.0862
x_0,32.2062,40.3810,44.1385,61.0345,65.9752
