,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,1.0000,1.0000,1.0000,1.0000,1.0000
r_e,9.0449,1.2141,1.2414,17.2668,4.2035
n,1.9725,1.2205,0.8657,2.2396,1.4309
x_0,30.3370,38.9590,42.7037,58.8597,63.3393
