,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,4.0375,3.5689,4.7279,2.2188,9.3060
r_e,10.0000,2.6639,3.0000,15.1004,1.5007
n,0.7687,0.1000,0.2986,1.9082,0.1000
x_0,31.4673,40.0899,44.0346,59.6435,62.8248
