,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1246,0.1919,0.1590,0.1261,0.2297
r_e,10.0000,1.8532,3.0000,12.9290,1.5003
n,1.1591,0.2219,0.2944,1.5413,0.1234
x_0,30.4709,38.9922,44.0346,58.9940,62.8248
