,Component 1,Component 2,Component 3,Component 4
I_e error,0.5680,0.6144,0.0522,0.0516
r_e error,11.6603,4.9720,23.6467,24.0638
n error,2.2247,1.1378,3.7094,1.6600
x_0 error,36.1103,41.7806,59.5634,72.3101
