,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,9.505,16.578,15.760,8.115,2.818
Continuum_2,2.873,6.901,6.301,3.472,1.119
Continuum_3,7.029,13.291,15.093,9.014,2.708
