,SNR,Signal,Noise
Component_1,43.273,1.391,0.032
Component_2,256.335,5.577,0.022
Component_3,134.462,2.440,0.018
Component_4,78.706,1.949,0.025
Component_5,45.840,0.991,0.022
Component_6,148.059,3.567,0.024
Component_7,137.826,4.110,0.030
