Name,Flux,Error flux
Hgamma,1.3019684060539756,0.13856209960111093
Hbeta,3.7461393764676862,0.3242134016555814
Halpha,16.633200032449164,0.5700184068166079
[SII]6716,1.766154236721473,0.08437140474810509
[SII]6731,1.5183352756227924,0.08776440647142057
HeII4687,0.0876169641167746,0.028427255998035295
HeI5876,0.5182540638317533,0.03741395844288656
[OIII]5007_d,5.4762819499995645,0.2332640344665063
[OI]6300_d,0.21830805811077406,0.02948898073794253
[NII]6583_d,5.013038405786029,0.10020399342588905
