,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.005,0.006,0.011,0.006
Continuum_2,0.003,0.004,0.008,0.005
Continuum_3,0.003,0.004,0.008,0.004
