,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.008,0.007,0.010,0.006
Continuum_2,0.005,0.004,0.006,0.005
Continuum_3,0.004,0.004,0.004,0.004
