,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,2.306,4.466,6.594,10.196
Continuum_2,3.395,6.487,8.281,12.639
Continuum_3,2.721,5.006,6.934,12.723
