,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.036,0.036,0.080,0.051
Continuum_2,0.030,0.028,0.060,0.048
Continuum_3,0.021,0.022,0.037,0.041
