,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.012,0.036,0.045,0.098
Continuum_2,0.012,0.030,0.041,0.091
Continuum_3,0.010,0.021,0.032,0.075
