,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.005,0.008,0.007,0.010
Continuum_2,0.004,0.005,0.005,0.007
Continuum_3,0.004,0.004,0.005,0.006
