,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,4.466,5.183,8.338,7.915
Continuum_2,6.487,6.354,10.518,10.671
Continuum_3,5.006,5.797,8.673,9.890
