L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
9.26e+37,2.62e+37,9.68e+38,6.47e+38,nan,nan
1.24e+36,3.54e+35,1.19e+37,1.07e+37,nan,nan
3.61e+36,1.02e+36,3.54e+37,2.96e+37,5.43e+38,4.54e+38
2.16e+39,6.09e+38,2.41e+40,1.25e+40,nan,nan
3.17e+36,9.04e+35,3.1e+37,2.62e+37,4.75e+38,4.01e+38
