,Component 1,Component 2,Component 3,Component 4
I_e,1.2017,0.1454,0.0762,0.0219
r_e,7.4647,10.6858,18.8709,53.3870
n,1.6351,2.1946,3.3478,2.2190
x_0,36.2560,42.4210,59.5386,72.2994
