,Component 1,Component 2,Component 3,Component 4
I_e error,0.1823,0.2452,0.3080,0.0445
r_e error,1.7460,1.8382,112.9179,27.5274
n error,0.1893,0.3643,6.5282,0.6140
x_0 error,0.0492,0.1765,0.0010,0.4177
