,Component 1,Component 2,Component 3,Component 4
I_e,4.0943,5.2654,8.4067,5.2590
r_e,6.4583,4.3382,3.4087,6.0266
n,0.9319,0.1549,1.2423,0.1878
x_0,36.8070,49.3549,59.3726,70.0000
