,Component 1,Component 2,Component 3,Component 4
I_e error,0.9481,1.3884,10.2642,0.4853
r_e error,5.7353,103.1131,105.8487,176.9058
n error,0.3322,0.6621,5.3091,1.5216
x_0 error,0.1942,1.4337,0.0081,0.3788
