,Component 1,Component 2,Component 3,Component 4
I_e,0.1631,0.0898,0.0200,0.0282
r_e,12.5924,10.5234,49.5985,30.5400
n,1.9426,1.5818,3.8379,1.6674
x_0,36.3104,42.5376,59.6624,72.5476
