,Component 1,Component 2,Component 3,Component 4
I_e error,0.0419,0.0580,0.1214,0.0097
r_e error,9.9847,24.1530,108.9980,46.9626
n error,0.3489,0.7536,4.0614,0.4414
x_0 error,0.0917,0.2992,0.0008,0.3131
