,Component 1,Component 2,Component 3,Component 4
I_e error,0.9986,0.8395,7.2401,0.9661
r_e error,0.8999,1.3297,1.3610,3.5105
n error,0.1885,0.2567,0.7772,0.1245
x_0 error,0.2708,1.5531,0.4910,4.8452
