,Component 1,Component 2,Component 3,Component 4
I_e error,0.2276,0.3606,0.6514,0.0224
r_e error,1.0455,22.7668,114.1050,68.7591
n error,0.1517,1.7620,8.5703,0.6735
x_0 error,0.0759,0.1960,0.0014,0.3543
