,Component 1,Component 2,Component 3,Component 4
I_e error,0.0473,0.0333,0.1623,0.0094
r_e error,7.0864,35.9349,147.4579,52.7558
n error,0.3189,0.6130,5.3286,0.4440
x_0 error,0.0808,0.2525,0.0013,0.2998
