Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.6563,0.1377,10.9053,1.4703,2.1071,0.1614,36.1541,0.0476
2,0.4425,0.2721,6.3146,3.4865,1.3466,0.4394,41.9346,0.1812
3,0.1499,0.7649,11.5031,39.4954,2.9436,5.6476,59.5634,0.0025
4,0.0638,0.0457,26.7978,15.4341,1.5741,0.4329,72.0963,0.4731
